222.966: [Full GC 9723K->8088K(22420K), 0.0261730 secs]
223.636: [Full GC 8804K->8676K(22420K), 0.0321490 secs]
228.676: [Full GC 9321K->8064K(22420K), 0.0271110 secs]
231.259: [Full GC 9921K->8070K(22420K), 0.0290660 secs]
231.931: [Full GC 9341K->8646K(22420K), 0.0347570 secs]
236.015: [Full GC 9180K->8651K(22420K), 0.0253470 secs]
239.290: [Full GC 9889K->8635K(22420K), 0.0269400 secs]
240.569: [Full GC 11037K->9226K(22420K), 0.0309650 secs]
243.464: [Full GC 10982K->9261K(22420K), 0.0258190 secs]
244.897: [Full GC 10577K->9273K(22420K), 0.0313400 secs]
249.246: [GC 15481K->9490K(22420K), 0.0022360 secs]
252.071: [Full GC 10919K->9255K(22420K), 0.0271700 secs]
252.743: [Full GC 9625K->8070K(22420K), 0.0299620 secs]
253.480: [Full GC 8444K->8072K(22420K), 0.0321160 secs]
254.153: [Full GC 8425K->8074K(22420K), 0.0305960 secs]
256.437: [Full GC 9270K->7493K(22420K), 0.0270430 secs]
257.107: [Full GC 8191K->8081K(22420K), 0.0331680 secs]
262.145: [Full GC 8786K->8086K(22420K), 0.0275600 secs]
264.427: [Full GC 9495K->8103K(22420K), 0.0239450 secs]
265.092: [Full GC 8812K->8064K(22420K), 0.0367880 secs]
270.123: [Full GC 8752K->8069K(22420K), 0.0266540 secs]
273.013: [Full GC 9719K->8088K(22420K), 0.0262270 secs]
273.681: [Full GC 8803K->8676K(22420K), 0.0336790 secs]
278.728: [Full GC 9408K->8066K(22420K), 0.0273060 secs]
281.311: [Full GC 9929K->8077K(22420K), 0.0268900 secs]
281.981: [Full GC 9365K->8649K(22420K), 0.0345050 secs]
286.077: [Full GC 9200K->8653K(22420K), 0.0268180 secs]
289.357: [Full GC 9849K->8637K(22420K), 0.0272190 secs]
290.639: [Full GC 11063K->9229K(22420K), 0.0325170 secs]
293.534: [Full GC 10991K->9263K(22420K), 0.0271800 secs]
294.969: [Full GC 10537K->9275K(22420K), 0.0308090 secs]
299.316: [GC 15483K->9492K(22420K), 0.0016970 secs]
302.149: [Full GC 10860K->9258K(22420K), 0.0275310 secs]
302.819: [Full GC 9643K->8072K(22420K), 0.0327600 secs]
